#,Signal,Company,Industry,Location (US),Role,Posted,Salary (USD),Tech Stack,Source URL
1,⭐🔴 HIGH INTENT + HOT,Databricks (Direct),Data & AI Platform,"Seattle WA / Atlanta GA / Dallas TX / Austin TX / Denver CO / Mountain View CA / Bellevue WA","Sr. Forward Deployed Engineer (Multiple verticals); Staff Database Engineer; Staff Software Engineer AI Search",Active — 1–6 days ago,$166K–$248K/yr,"Databricks, Apache Spark, Delta Lake, ML, AI",https://www.databricks.com/company/careers/open-positions
2,⭐🔴 HIGH INTENT + HOT,Deloitte,Big 4 Consulting,"San Diego CA / Columbus OH / Multiple US","Databricks Data Engineer – Consultant; Databricks Data Engineer – Senior Consultant",~1 month ago,$120K–$180K est.,"Databricks, PySpark, Delta Lake, Azure/AWS, SQL",https://www.linkedin.com/jobs/view/databricks-data-engineer-senior-consultant-at-deloitte-4409026903
3,⭐🔴 HIGH INTENT + HOT,EY (Ernst & Young),Big 4 Consulting,USA (multiple),Databricks Data Engineer – Senior Associate AI Data Technology Consulting,Posted 29 May 2026,Competitive (not listed),"Databricks, Python, Spark, Scala, Azure/AWS/GCP, ELT tools",https://careers.ey.com/ey/job/Databricks-Data-Engineer,-Senior-Associate,-AI-Data,-Technology-Consulting-048583/1285541701/
4,⭐🔴 HIGH INTENT + HOT,KPMG,Big 4 Consulting,USA (multiple),Databricks Data Architect – Associate Director,Active 2026,$160K–$220K est.,"Databricks, Azure, Delta Lake, Unity Catalog, Python",https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30044463
5,🔴 HOT,Aledade,HealthTech,Remote (USA),Senior Data Platform Engineer II (Databricks),Active 2026,Not listed,"Databricks, Snowflake, Unity Catalog, Terraform, AWS, SQL",https://jobs.lever.co/aledade/e7c0c6cc-7d22-4ca4-8484-f5f2e5c59eba
6,🔴 HOT,Adobe,SaaS / Global Tech,"San Jose, CA",Software Development Engineer – Data & Cloud Engineering,1 week ago,Not listed,"Databricks, Cloud Engineering, Data Platform",https://www.linkedin.com/jobs/databricks-software-engineer-jobs
7,🔴 HOT,Netflix,Media & Streaming,United States (Remote),Software Engineer 5 – Training Platform AI Platform,2 weeks ago,Not listed,"Databricks, Spark, AI/ML Platform",https://www.linkedin.com/jobs/databricks-software-engineer-jobs
8,🔴 HOT,Plaid,FinTech,San Francisco Bay Area / Greater Seattle,Senior Software Engineer – Data Infrastructure,2–3 days ago,Not listed,"Databricks, Data Infrastructure, Python, Spark",https://www.linkedin.com/jobs/databricks-software-engineer-jobs
9,🔴 HOT,Ibotta,RetailTech,"Denver, CO",Data Engineer,3 days ago,Not listed,"Databricks, Python, SQL, Spark",https://www.linkedin.com/jobs/databricks-software-engineer-jobs
10,🔴 HOT,Sony Interactive Entertainment,"Gaming / Entertainment","San Diego, CA",Software Engineer II – Data Platform,1 week ago,Not listed,"Databricks, Data Platform, Python",https://www.linkedin.com/jobs/databricks-software-engineer-jobs
11,🔴 HOT,Avance Consulting,IT Staffing,"Pittsburgh, PA",PySpark and Databricks Engineer,Active 2026,Not listed,"PySpark, Databricks, Azure",https://www.linkedin.com/jobs/view/pyspark-and-databricks-engineer-at-avance-consulting-4428063162
12,🔴 HOT,Capital Technology Group,Federal IT Consulting,Remote (USA – US Citizens only),Principal Data Engineer (Databricks + dbt + Modern Data Stack),Active 2026,$170K–$240K/yr,"Databricks, dbt, SQL, AWS (Redshift/S3/Glue/Lambda), Python, Terraform, Kafka",https://job-boards.greenhouse.io/capitaltg/jobs/4956466007
13,🔴 HOT,Bounteous,Digital Consulting,United States (Remote),Senior Databricks Engineer; Databricks Solutions Architect,2 days ago,$102K–$133K (SA role),"Databricks, Azure/AWS, Delta Lake, PySpark",https://bebee.com/us/jobs/senior-databricks-engineer-bounteous-united-states--oneredce-28535_QCzqml9ALzIqX3l_2250f
14,🔴 HOT,V2 Strategic Advisors,Data & AI Consulting,USA (Remote),Databricks Senior Data & AI Engineer,Active 2026,Not listed,"Databricks, Lakehouse, Delta Lake, PySpark, AI/ML",https://jobs.lever.co/v2sa/7ed2c72a-bf73-41ee-87be-944b5af908b3
15,🔴 HOT,Smart IT Frame LLC,IT Staffing,"Decatur, IL / Raritan, NJ","Azure Databricks Engineer; Databricks Administrator",2 days ago / Today,Not listed,"Databricks, Azure, PySpark, SQL",https://www.linkedin.com/jobs/view/azure-databricks-engineer-at-smart-it-frame-llc-4377936037
16,🔴 HOT,eTek IT Services Inc.,IT Staffing,"New York, NY",Azure Databricks Engineer,Today,Not listed,"Azure Databricks, PySpark, SQL",https://bebee.com/us/jobs/azure-databricks-engineer-etek-it-services-inc-new-york--techmap_us_e8626951-ea01-425b-9d70-b8a7cfd56805
17,🔴 HOT,Tenth Revolution Group,Tech Staffing / Recruiting,"Irvine, CA","Data Engineer (Databricks); Databricks Solutions Architect",2 days ago,Not listed,"Databricks, AWS, PySpark, SQL",https://www.tenthrevolution.com/jobs/
18,🔴 HOT,CyberDash CryptoMetrics LLC,Data / FinTech,"Aldie, VA",Databricks Data Engineer,Today,$10K–$15K/month,"Databricks, Python, SQL, PySpark",https://bebee.com/us/jobs/databricks-data-engineer-cyberdash-cryptometrics-llc-aldie-va--theirstack-737406799
19,🔴 HOT,DS Technologies Inc.,IT Services,"Atlanta, GA",Databricks Developer,Today,Not listed,"Databricks, PySpark, Delta Lake",https://bebee.com/us/jobs/databricks-developer-ds-technologies-inc-atlanta--recooty-01KEJ7N86FSN7RE86SM3761E3B
20,🔴 HOT,ValueMomentum,InsurTech / Data,Michigan / New Jersey (USA),"Databricks Architect; Azure Data Engineer – Databricks Lead",Today,Not listed,"Databricks, Azure, PySpark, SQL",https://www.valuemomentum.com/careers/
21,🟡 WARM,Allata,Healthcare Data Consulting,USA (Remote),"Data Engineer (Databricks); Data Engineer (Databricks + Python + Azure)",Active 2026,Not listed,"Databricks, Azure, Python, Delta Lake",https://jobs.lever.co/Allata/0342848e-6fb2-4f84-8c0b-362d2e07b926
22,🟡 WARM,Aon,Insurance / Risk,Remote (USA),Machine Learning & AI Developer (Databricks),6 days ago,Not listed,"Databricks, ML, AI, Python",https://arc.dev/remote-jobs/databricks
23,🟡 WARM,Health Management Associates,Healthcare Consulting,United States (Remote),Senior AI Software Engineer (Databricks),6 days ago,Not listed,"Databricks, AI, Python, Spark",https://arc.dev/remote-jobs/databricks
24,🟡 WARM,Makpar,Federal IT Consulting,USA (Remote),Senior Data Engineer,Active 2026,Not listed,"Databricks, SQL, ETL, Python, Spark",https://jobs.lever.co/makpar/c980356f-b7bc-40c7-b67e-76047e32a7c6
25,🟡 WARM,Beghou Consulting,Life Sciences / Analytics,USA,Senior Data Engineer – Consulting,Active 2026,Not listed,"Databricks, SQL, Python, dbt",https://jobs.lever.co/beghouconsulting/19ca3962-8d04-4eb6-8e59-1ddb265aa177
26,🟡 WARM,Grant Street Group,Government Tech / Finance,USA,Data Engineer (Databricks),Active 2026,Not listed,"Databricks, SQL, Python, ETL",https://jobs.lever.co/grantstreet/50b37d2c-be0d-4718-9ded-dafe63b03378
27,🟡 WARM,Dun & Bradstreet,B2B Data / Analytics,USA,Senior Big Data Engineer (Databricks),Active 2026,Not listed,"Databricks, Big Data, Spark, Python, SQL",https://jobs.lever.co/dnb/9e9e175f-969f-4de7-b33f-d4616b9082e8
28,🟡 WARM,Smart Working Solutions,IT Staffing,Remote (USA),Data Engineer (SQL Databricks) – Full-Time Remote,Active 2026,Not listed,"Databricks, SQL, Python, Data Pipelines",https://jobs.lever.co/smart-working-solutions/da79643d-0ed6-4d73-ab1f-bd82aa1d8463
29,🟡 WARM,Horizon Industries,Government / Defense Consulting,"Remote (Tyson's Corner, VA HQ)",Databricks Data Engineer,Active March 2026,Not listed,"Databricks, Python, Spark, Kafka, AWS, Azure, SQL",https://job-boards.greenhouse.io/horizonindustrieslimited/jobs/5160584008
30,🟡 WARM,Verse,Tech / Data,"San Francisco, CA",Software Engineer – Data Engineering,1 month ago,Not listed,"Databricks, Python, Spark, Data Engineering",https://www.linkedin.com/jobs/databricks-software-engineer-jobs
31,🟡 WARM,McKesson,Healthcare,"Georgia, USA",Software Engineer III – Full Stack / Core Platform Services (Databricks),6 days ago,Not listed,"Databricks, Full Stack, Cloud Platform",https://arc.dev/remote-jobs/databricks
