#,Signal,Company,Industry,Country,Location,Role Found,Posted,Source,Contact,Notes
1,WARM,Citi,Banking / Financial Services,USA,"Tampa, FL",Senior PySpark Developer (VP),Today,Dice,not found,Enterprise Spark/Databricks build in capital markets
2,WARM,JPMorgan Chase & Co.,Banking,USA,"Jersey City, NJ",Data Domain Modeling Associate (Transformation & Innovation),Today,Dice,not found,In-house data platform modernization
3,WARM,State Street Corporation,Banking / Asset Servicing,USA,"Boston, MA","Data Scientist, VP",Today,Dice,not found,Enterprise data science on Databricks
4,WARM,Sumitomo Mitsui Financial Group (SMBC),Banking,USA,"Charlotte, NC",VP Full Stack Engineer (Python),Today,Dice,not found,Backend/data platform hiring
5,WARM,Fisher Investments,Investment Management,USA,"Plano, TX / Camas, WA",Senior Platform Engineer,Today,Dice,not found,In-house platform/data team
6,WARM,UnitedHealth Group / Optum,Health Insurance / Healthcare,USA,"Eden Prairie, MN / Remote",Senior Data Analytics Engineer; Lead AI/ML Engineer,Today,Dice,not found,Multiple Databricks/AI roles open simultaneously
7,WARM,Humana Inc,Health Insurance,USA,"Louisville, KY / Remote",Senior Data Engineer,Today,Dice,not found,Healthcare data engineering
8,WARM,CVS Health,Healthcare / Pharmacy,USA,"Wellesley, MA",Senior Data Scientist - Marketing & Consumer Analytics,Today,Dice,not found,Consumer analytics on cloud data platform
9,HOT,Cotiviti,Healthcare Data Analytics (product),USA,Remote,Data Engineer - AI (Spark/Databricks/Healthcare),Today,Dice,not found,Pure end-user healthcare analytics; salaried full-time
10,WARM,Stanford Health Care,Healthcare Provider,USA,"Palo Alto, CA",Sr. Enterprise Data Engineer; Sr. AI Platform Engineer,Today,Dice,not found,Provider building enterprise data/AI platform
11,WARM,McKesson Corporation,Healthcare Distribution,USA,"Irving, TX",Senior Data Engineer,Today,Dice,not found,Enterprise data engineering
12,WARM,Johnson & Johnson,Pharma / MedTech,USA,"Raritan, NJ","Technology Manager, Data Platform (CDL)",Today,Dice,not found,Owns data platform program
13,WARM,Elanco Animal Health,Pharma (Animal Health),USA,"Indianapolis, IN",Senior Data Scientist,Today,Dice,not found,Enterprise data science
14,WARM,Gainwell Technologies,Healthcare IT (Medicaid platforms),USA,"Dallas / Houston / Austin, TX",Sr. Power BI & Databricks ETL Engineer,Today,Dice,not found,Govt healthcare tech; salaried full-time
15,WARM,General Motors,Automotive,USA,"Austin, TX",Staff Data Engineer - AI & Cloud,Today,Dice,not found,In-house AI/cloud data platform
16,WARM,3M Company,Manufacturing,USA,Minnesota / Remote,Lead Data Engineer,Today,Dice,not found,Enterprise data engineering (parsed as "3M")
17,WARM,Tyson Foods,Food / CPG,USA,"Springdale, AR",Senior IT Data Engineer (Python/SQL),Today,Dice,not found,Onsite enterprise data team
18,WARM,The J.M. Smucker Co.,Food / CPG,USA,"Orrville, OH","Manager, Data Engineering",Today,Dice,not found,Building data engineering function
